Day,WY,month,discharge_cfps,wy_date,E_day,r_day,dishcarge_cmps
10,2017,MAY,4.8,2017-05-10,NA,NA,0.13592086364159997
10,2017,JUN,1.8,2017-06-10,NA,NA,0.050970323865599985
10,2017,JUL,0.79,2017-07-10,NA,NA,0.022370308807679994
10,2017,AUG,0.89,2017-08-10,NA,NA,0.025201993466879995
10,2017,SEP,1.5,2017-09-10,NA,NA,0.04247526988799999
11,2017,OCT,2.1,2017-10-11,NA,NA,0.05946537784319999
11,2017,NOV,NA,2017-11-11,NA,NA,NA
11,2017,DEC,NA,2017-12-11,NA,NA,NA
11,2017,JAN,0.72,2017-01-11,NA,NA,0.020388129546239996
11,2017,FEB,0.94,2017-02-11,NA,NA,0.026617835796479992
11,2017,MAR,9.1,2017-03-11,NA,NA,0.2576833039871999
11,2017,APR,7.1,2017-04-11,NA,NA,0.20104961080319994
11,2017,MAY,6.7,2017-05-11,NA,NA,0.18972287216639996
11,2017,JUN,0.74,2017-06-11,NA,NA,0.020954466478079994
11,2017,JUL,1.6,2017-07-11,NA,NA,0.0453069545472
11,2017,AUG,1.1,2017-08-11,NA,NA,0.031148531251199995
11,2017,SEP,1.4,2017-09-11,NA,NA,0.03964358522879999
12,2017,OCT,2.2,2017-10-12,NA,NA,0.06229706250239999
12,2017,NOV,NA,2017-11-12,NA,NA,NA
12,2017,DEC,NA,2017-12-12,NA,NA,NA
12,2017,JAN,0.52,2017-01-12,NA,NA,0.014724760227839999
12,2017,FEB,1.3,2017-02-12,NA,NA,0.036811900569599994
12,2017,MAR,12,2017-03-12,NA,NA,0.3398021591039999
12,2017,APR,7.5,2017-04-12,NA,NA,0.21237634943999997
12,2017,MAY,8.2,2017-05-12,NA,NA,0.23219814205439993
12,2017,JUN,0.99,2017-06-12,NA,NA,0.028033678126079993
12,2017,JUL,1.5,2017-07-12,NA,NA,0.04247526988799999
12,2017,AUG,0.99,2017-08-12,NA,NA,0.028033678126079993
12,2017,SEP,1.4,2017-09-12,NA,NA,0.03964358522879999
13,2017,OCT,2.2,2017-10-13,NA,NA,0.06229706250239999
13,2017,NOV,NA,2017-11-13,NA,NA,NA
13,2017,DEC,NA,2017-12-13,NA,NA,NA
13,2017,JAN,0.48,2017-01-13,NA,NA,0.013592086364159997
13,2017,FEB,1.1,2017-02-13,NA,NA,0.031148531251199995
13,2017,MAR,17,2017-03-13,NA,NA,0.4813863920639999
13,2017,APR,6.5,2017-04-13,NA,NA,0.18405950284799996
13,2017,MAY,7.9,2017-05-13,NA,NA,0.22370308807679995
13,2017,JUN,1.1,2017-06-13,NA,NA,0.031148531251199995
13,2017,JUL,1.4,2017-07-13,NA,NA,0.03964358522879999
13,2017,AUG,0.92,2017-08-13,NA,NA,0.026051498864639998
13,2017,SEP,1.3,2017-09-13,NA,NA,0.036811900569599994
14,2017,OCT,2.7,2017-10-14,NA,NA,0.07645548579839999
14,2017,NOV,NA,2017-11-14,NA,NA,NA
14,2017,DEC,NA,2017-12-14,NA,NA,NA
14,2017,JAN,1.2,2017-01-14,NA,NA,0.03398021591039999
14,2017,FEB,1.2,2017-02-14,NA,NA,0.03398021591039999
14,2017,MAR,30,2017-03-14,NA,NA,0.8495053977599999
14,2017,APR,5.7,2017-04-14,NA,NA,0.16140602557439995
14,2017,MAY,7.6,2017-05-14,NA,NA,0.21520803409919992
14,2017,JUN,1.1,2017-06-14,NA,NA,0.031148531251199995
14,2017,JUL,1.4,2017-07-14,NA,NA,0.03964358522879999
14,2017,AUG,0.87,2017-08-14,NA,NA,0.024635656535039994
14,2017,SEP,1.4,2017-09-14,NA,NA,0.03964358522879999
15,2017,OCT,2.7,2017-10-15,NA,NA,0.07645548579839999
15,2017,NOV,NA,2017-11-15,NA,NA,NA
15,2017,DEC,NA,2017-12-15,NA,NA,NA
15,2017,JAN,1.3,2017-01-15,NA,NA,0.036811900569599994
15,2017,FEB,0.97,2017-02-15,NA,NA,0.02746734119423999
